"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "Markdown", "CSS", "XML", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\About\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Account\Account.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Account\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Login\Login.jsx", "JavaScript JSX", 0, 0, 152, 0, 0, 0, 0, 0, 7, 159
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Login\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Register\Register.jsx", "JavaScript JSX", 0, 0, 184, 0, 0, 0, 0, 0, 6, 190
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Auth\Register\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Cart\Cart.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Cart\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Contact\Contact.jsx", "JavaScript JSX", 0, 0, 208, 0, 0, 0, 0, 0, 3, 211
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Contact\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dashboard\Dashboard.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dashboard\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\DishDetail\DishDetail.jsx", "JavaScript JSX", 0, 0, 208, 0, 0, 0, 0, 0, 12, 220
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\DishDetail\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dishes\DishItem.jsx", "JavaScript JSX", 0, 0, 66, 0, 0, 0, 0, 0, 5, 71
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dishes\Dishes.jsx", "JavaScript JSX", 0, 0, 69, 0, 0, 0, 0, 0, 5, 74
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Dishes\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Profile\Profile.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Profile\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Service\Service.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\User\Service\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\AuthReducer\action.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\AuthReducer\constants.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\AuthReducer\reducer.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\CategoryReducer\action.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\CategoryReducer\constants.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\CategoryReducer\reducer.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\DishesReducer\action.jsx", "JavaScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 8, 39
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\DishesReducer\constants.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\DishesReducer\reducer.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 0, 0, 5, 53
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\EmployeesReducer\action.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\EmployeesReducer\constants.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\EmployeesReducer\reducer.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\action.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\constants.jsx", "JavaScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Reducers\UsersReducer\reducer.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\authApi.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\axiosConfig.jsx", "JavaScript JSX", 0, 0, 33, 0, 0, 0, 0, 23, 10, 66
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\categoryApi.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\dishApi.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\employeeApi.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Service\userApi.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Theme\index.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\constants\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\main.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\routers\routes.jsx", "JavaScript JSX", 0, 0, 41, 0, 0, 0, 0, 6, 9, 56
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\utils\setAuthToken.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\package-lock.json", "JSON", 0, 2465, 0, 0, 0, 0, 0, 0, 1, 2466
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\package.json", "JSON", 0, 41, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\.prettierrc", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\AdminAuthController.mjs", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 17, 141
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\AuthController.mjs", "JavaScript", 160, 0, 0, 0, 0, 0, 0, 0, 22, 182
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\CartsController.mjs", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\CategorysController.mjs", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\DishesController.mjs", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 14, 114
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\Employees.mjs", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 9, 111
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\OrdersController.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\UsersController.mjs", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 7, 85
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Carts.mjs", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Categorys.mjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Dishes.mjs", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Employees.mjs", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 10, 137
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Orders.mjs", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Roles.mjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Users.mjs", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 10, 130
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\config\cloudinary\index.mjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\config\database\index.mjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\index.mjs", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 5, 10, 42
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\middleware\auth.mjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\middleware\authorizeRoles.mjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\adminAuthRouter.mjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\authRouter.mjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\cartsRouter.mjs", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 5, 13
