"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "PHP", "JavaScript JSX", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_11_02_130817_create_reviews_table.php", "PHP", 0, 0, 0, 0, 26, 0, 0, 0, 0, 6, 4, 36
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_11_02_133128_create_orders_table.php", "PHP", 0, 0, 0, 0, 34, 0, 0, 0, 0, 6, 4, 44
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_11_02_134616_create_tables_table.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 4, 30
"c:\xampp\htdocs\restaurants_php\server\database\migrations\2023_11_04_132829_create_reservations_table.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 4, 34
"c:\xampp\htdocs\restaurants_php\server\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 5, 23
"c:\xampp\htdocs\restaurants_php\server\package.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\xampp\htdocs\restaurants_php\server\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 1, 32
"c:\xampp\htdocs\restaurants_php\server\public\index.php", "PHP", 0, 0, 0, 0, 14, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\restaurants_php\server\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\restaurants_php\server\resources\js\app.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\restaurants_php\server\resources\js\bootstrap.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 23, 7, 33
"c:\xampp\htdocs\restaurants_php\server\resources\views\welcome.blade.php", "PHP", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 23, 141
"c:\xampp\htdocs\restaurants_php\server\routes\api.php", "PHP", 0, 0, 0, 0, 75, 0, 0, 0, 0, 22, 16, 113
"c:\xampp\htdocs\restaurants_php\server\routes\channels.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\restaurants_php\server\routes\console.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\restaurants_php\server\routes\web.php", "PHP", 0, 0, 0, 0, 5, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\restaurants_php\server\tests\CreatesApplication.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 6, 22
"c:\xampp\htdocs\restaurants_php\server\tests\Feature\ExampleTest.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 5, 20
"c:\xampp\htdocs\restaurants_php\server\tests\TestCase.php", "PHP", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\restaurants_php\server\tests\Unit\ExampleTest.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 4, 17
"c:\xampp\htdocs\restaurants_php\server\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 3
"c:\xampp\htdocs\restaurants_php\server\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\restaurants_php\server\vite.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 0, 45, -2068, 8015, 3206, 3238, 1, 30, -8, 1631, 907, 14997
